Polygone :  0
Coverage radius :  20
Optimisation algorithm :  0
Method of optimisation :  cpp
Obstacles :  0
Start time :  20231002130510+0200
Total computation time :  2.6259102821350098
Optimisation computation time :  1.0799999237060547
Real distance :  4492.832611206852
Total number of point to cover :  125
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  20
Optimisation algorithm :  1
Method of optimisation :  cpp
Obstacles :  0
Start time :  20231002130514+0200
Total computation time :  48.62805414199829
Optimisation computation time :  47.1140992641449
Real distance :  4591.191966924586
Total number of point to cover :  125
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  20
Optimisation algorithm :  2
Method of optimisation :  cpp
Obstacles :  0
Start time :  20231002130604+0200
Total computation time :  2.804694652557373
Optimisation computation time :  1.3096868991851807
Real distance :  4458.609139079789
Total number of point to cover :  125
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  20
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  0
Start time :  20231002130608+0200
Total computation time :  1.783989667892456
Optimisation computation time :  0.2690918445587158
Real distance :  4264.083261120685
Total number of point to cover :  125
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  20
Optimisation algorithm :  4
Method of optimisation :  fast_tsp
Obstacles :  0
Start time :  20231002130611+0200
Total computation time :  3.5121915340423584
Optimisation computation time :  2.003023386001587
Real distance :  4264.083261120685
Total number of point to cover :  125
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  20
Optimisation algorithm :  5
Method of optimisation :  tsp_solver2
Obstacles :  0
Start time :  20231002130616+0200
Total computation time :  1.5514633655548096
Optimisation computation time :  0.03648018836975098
Real distance :  4546.226335797829
Total number of point to cover :  125
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  20
Optimisation algorithm :  6
Method of optimisation :  solve_tsp_simulated_annealing
Obstacles :  0
Start time :  20231002130618+0200
Total computation time :  8.628716230392456
Optimisation computation time :  7.039116859436035
Real distance :  4627.608272528011
Total number of point to cover :  125
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  20
Optimisation algorithm :  7
Method of optimisation :  solve_tsp_local_search
Obstacles :  0
Start time :  20231002130628+0200
Total computation time :  3.37662935256958
Optimisation computation time :  1.8502492904663086
Real distance :  4615.941317010752
Total number of point to cover :  125
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  12
Optimisation algorithm :  0
Method of optimisation :  cpp
Obstacles :  0
Start time :  20231002130633+0200
Total computation time :  36.49366497993469
Optimisation computation time :  24.66601037979126
Real distance :  7298.505151444991
Total number of point to cover :  352
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  12
Optimisation algorithm :  1
Method of optimisation :  cpp
Obstacles :  0
Start time :  20231002130711+0200
Total computation time :  405.16313576698303
Optimisation computation time :  391.69689750671387
Real distance :  7660.9259809824825
Total number of point to cover :  352
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  12
Optimisation algorithm :  2
Method of optimisation :  cpp
Obstacles :  0
Start time :  20231002131357+0200
Total computation time :  46.84603691101074
Optimisation computation time :  34.80396246910095
Real distance :  7215.39953058559
Total number of point to cover :  352
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  12
Optimisation algorithm :  3
Method of optimisation :  concorde
Obstacles :  0
Start time :  20231002131445+0200
Total computation time :  12.766358375549316
Optimisation computation time :  0.741004467010498
Real distance :  7064.721359549996
Total number of point to cover :  352
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  12
Optimisation algorithm :  4
Method of optimisation :  fast_tsp
Obstacles :  0
Start time :  20231002131459+0200
Total computation time :  14.043189764022827
Optimisation computation time :  2.0218887329101562
Real distance :  7064.721359549996
Total number of point to cover :  352
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  12
Optimisation algorithm :  5
Method of optimisation :  tsp_solver2
Obstacles :  0
Start time :  20231002131514+0200
Total computation time :  12.742370367050171
Optimisation computation time :  0.30651211738586426
Real distance :  7644.702317341614
Total number of point to cover :  352
------------------------------------------------------------------------------
Polygone :  0
Coverage radius :  12
Optimisation algorithm :  6
Method of optimisation :  solve_tsp_simulated_annealing
Obstacles :  0
Start time :  20231002131529+0200
Total computation time :  89.35082125663757
Optimisation computation time :  76.93799042701721
Real distance :  7779.942873374857
Total number of point to cover :  352
------------------------------------------------------------------------------
Polygone :  0
